booking_number,name,closest_name
080300532962,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation
010301128667,YAMAHA CORPORATION,Yamaha Corporation
141400013058,YAMAHA MUSIC GULF FZE,Yamaha Corporation
080400024470,YAMAHA CORPORATION,Yamaha Corporation
149401245926,HOOKER FURNITURE CORPORATION,AISIN CORPORATION
010400149727,YAMAHA CORPORATION,Yamaha Corporation
091330603642,YAMAHA MUSIC & ELECTRONICS TAIWAN C,Yamaha Corporation
082400016741,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
081400002008,YAMAHA MUSIC LATIN AMERICA,Fr. Meyer's Sohn North America LLC
143351914146,"YAMAHA MUSIC AUSTRALIA PTY., LTD.",Manildra Flour Mills PTY LTD
142400509558,YAMAHA DE MEXICO S.A. DE C.V.,Truper S.A. DE C.V.
093400083559,YAMAHA MUSIC PHILIPPINES INC,DSV Air & Sea Inc.
141300928950,YAMAHA MUSIC (MALAYSIA) SDN.BHD,Yamaha Corporation
142400307963,YAMAHA DE MEXICO S.A. DE C.V.,Truper S.A. DE C.V.
081400029372,YAMAHA DE MEXICO S.A DE C.V,Truper S.A. DE C.V.
149401302920,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
080300568192,YAMAHA CORPORATION,Yamaha Corporation
091330603650,YAMAHA MUSIC LATIN AMERICA,Fr. Meyer's Sohn North America LLC
237300460433,YAMAHA CORPORATION C/O SEIWA INTERN,Yamaha Corporation
238400050872,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
081300248650,YAMAHA DE MEXICO,Truper S.A. DE C.V.
142453215508,"HADDAD APPAREL GROUP, LTD131 DOCKS",Lollytogs LTD DBA LT Apparel Group
080400065282,YAMAHA CORPORATION OF AMERICA,Yamaha Corporation
093300355549,"YAMAHA MUSIC LATIN AMERICA, S.A.",Fr. Meyer's Sohn North America LLC
147400196909,YAMAHA CORPORATION,Yamaha Corporation
080400104813,YAMAHA CORPORATION,Yamaha Corporation
081300248366,YAMAHA MUSICAL DO BRASIL LTDA.,What Do You Meme
142303086622,YAMAHA MUSIC (ASIA) PRIVATE LIMITED,Super Auto Forge Private Limited
149308390598,YAMAHA CORPORATION,Yamaha Corporation
237400128694,YAMAHA CORPORATION,Yamaha Corporation
081400011848,YAMAHA CORPORATION JAPAN,Yamaha Corporation
142400255793,PT.YAMAHA MUSIK INDONESIA DISTRIBUT,Yamaha Corporation
093300387068,YAMAHA DE MEXICO S.A.,Truper S.A. DE C.V.
141400013198,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation
082400001026,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
142453215745,"HADDAD APPAREL GROUP, LTD131 DOCKS",Lollytogs LTD DBA LT Apparel Group
080400067918,YAMAHA CORPORATION JAPAN,Yamaha Corporation
142400574032,PT.YAMAHA MUSIK INDONESIA DISTRIBUT,Yamaha Corporation
080400012480,YAMAHA MUSICAL DO BRASIL LTDA.,What Do You Meme
142302942842,YAMAHA MUSIC PHILIPPINES INC.,DSV Air & Sea Inc.
080400090634,YAMAHA MUSIC ELECTRONICS CHINA,UBILogistics (China) Limited
081300257608,YAMAHA CORPORATION,Yamaha Corporation
081400031024,YAMAHA CORPORATION JAPAN,Yamaha Corporation
149401122417,HOOKER FURNITURE CORPORATION,AISIN CORPORATION
081400006020,XIAOSHAN YAMAHA MUSICAL INSTRUMENTC,Yamaha Corporation
238300141328,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
081400027540,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation
080300545320,YAMAHA MUSIC GULF FZE,Yamaha Corporation
080300539117,YAMAHA CORPORATION C/O MOL LOGISTIC,Yamaha Corporation
